epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2417.31,0.56369,0.57891,1.08537,0.75403,0.67239,0.71812,0.5307,1.00567,1.23471,1.47019,0.000370675,0.000370675,0.000370675
114,2435.66,0.5562,0.58385,1.09242,0.75535,0.63392,0.69166,0.50827,1.03163,1.28553,1.49293,0.000368735,0.000368735,0.000368735
115,2453.93,0.57536,0.59372,1.09982,0.77071,0.65243,0.68914,0.50916,1.05149,1.32976,1.53078,0.000366794,0.000366794,0.000366794
116,2472.04,0.56015,0.57638,1.09646,0.80958,0.6109,0.69075,0.51106,1.05386,1.29225,1.51031,0.000364854,0.000364854,0.000364854
117,2490.31,0.56592,0.5951,1.09877,0.77909,0.63584,0.69868,0.50745,1.05948,1.30662,1.5257,0.000362914,0.000362914,0.000362914
118,2508.77,0.56707,0.59283,1.09465,0.80874,0.60099,0.68844,0.49759,1.09029,1.36529,1.58938,0.000360973,0.000360973,0.000360973
119,2526.79,0.55388,0.56588,1.0898,0.76835,0.65061,0.69004,0.51303,1.04438,1.24385,1.52128,0.000359033,0.000359033,0.000359033
120,2545.28,0.53815,0.56475,1.0735,0.78378,0.62203,0.69378,0.51087,1.03832,1.28723,1.53038,0.000357092,0.000357092,0.000357092
121,2564.57,0.55703,0.58089,1.09303,0.75909,0.63727,0.69428,0.51768,1.03821,1.3001,1.50568,0.000355152,0.000355152,0.000355152
122,2582.97,0.53439,0.55133,1.08138,0.77873,0.65505,0.70822,0.52345,1.03201,1.25668,1.51374,0.000353212,0.000353212,0.000353212
123,2601.94,0.54454,0.55006,1.07681,0.78064,0.63389,0.70389,0.5208,1.06344,1.26825,1.53577,0.000351271,0.000351271,0.000351271
124,2620.72,0.53432,0.53573,1.06603,0.75047,0.64728,0.69445,0.51448,1.06237,1.28499,1.53971,0.000349331,0.000349331,0.000349331
125,2639.36,0.5337,0.54225,1.07288,0.81521,0.6292,0.70172,0.51475,1.08856,1.26281,1.57916,0.00034739,0.00034739,0.00034739
126,2658.11,0.53696,0.54875,1.07096,0.76567,0.62223,0.68658,0.50963,1.0336,1.29026,1.52367,0.00034545,0.00034545,0.00034545
127,2676.88,0.5466,0.53523,1.07485,0.80673,0.63439,0.69605,0.51138,1.0363,1.28197,1.50722,0.00034351,0.00034351,0.00034351
128,2695.8,0.53573,0.53905,1.07858,0.78773,0.6098,0.68428,0.50999,1.05492,1.32277,1.52853,0.000341569,0.000341569,0.000341569
129,2714.53,0.53653,0.53854,1.07078,0.78138,0.6162,0.68016,0.50947,1.04478,1.31734,1.51188,0.000339629,0.000339629,0.000339629
130,2733.32,0.53571,0.55305,1.08228,0.74971,0.63489,0.6599,0.49293,1.03908,1.3804,1.51742,0.000337688,0.000337688,0.000337688
131,2751.59,0.53303,0.54566,1.07305,0.79262,0.64196,0.69094,0.50986,1.06895,1.29654,1.54594,0.000335748,0.000335748,0.000335748
132,2769.52,0.53436,0.53216,1.07045,0.78307,0.65363,0.69513,0.52095,1.02296,1.26059,1.49959,0.000333808,0.000333808,0.000333808
133,2787.61,0.51962,0.52312,1.07183,0.83233,0.62024,0.70682,0.52313,1.03154,1.24977,1.5228,0.000331867,0.000331867,0.000331867
134,2805.65,0.52888,0.54075,1.06252,0.80863,0.62426,0.70713,0.52925,1.02029,1.2504,1.49284,0.000329927,0.000329927,0.000329927
135,2823.72,0.52364,0.51421,1.06188,0.81221,0.6161,0.69342,0.51618,1.04098,1.28003,1.51856,0.000327986,0.000327986,0.000327986
136,2841.76,0.53413,0.53417,1.0742,0.83083,0.62422,0.7127,0.53264,1.01656,1.27857,1.47849,0.000326046,0.000326046,0.000326046
